Year,Month,Day,Temp
2015,3,22,72
2015,3,22,67
2015,3,22,71
2015,3,22,83
2015,3,22,89
2015,3,22,86
2015,3,22,77
2015,3,22,73
2015,3,23,69
2015,3,23,68
2015,3,23,71
2015,3,23,85
2015,3,23,90
2015,3,23,90
2015,3,23,76
2015,3,23,69
2015,3,24,66
2015,3,24,65
2015,3,24,72
2015,3,24,89
2015,3,24,94
2015,3,24,86
2015,3,24,77
2015,3,24,73
2015,3,25,71
2015,3,25,67
2015,3,25,72
2015,3,25,90
2015,3,25,95
2015,3,25,92
2015,3,25,80
2015,3,25,75
2015,3,26,72
2015,3,26,70
2015,3,26,77
2015,3,26,93
2015,3,26,97
2015,3,26,94
2015,3,26,83
2015,3,26,76
2015,3,27,77
2015,3,27,73
2015,3,27,78
2015,3,27,90
2015,3,27,95
2015,3,27,93
2015,3,27,81
2015,3,27,72
2015,3,28,69
2015,3,28,66
2015,3,28,72
2015,3,28,89
2015,3,28,95
2015,3,28,95
2015,3,28,81
2015,3,28,74
2015,3,29,71
2015,3,29,73
2015,3,29,77
2015,3,29,83
2015,3,29,83
2015,3,29,81
2015,3,29,76
2015,3,29,76
2015,3,30,68
2015,3,30,69
2015,3,30,71
2015,3,30,77
2015,3,30,82
2015,3,30,79
2015,3,30,75
2015,3,30,72
2015,3,31,70
2015,3,31,68
2015,3,31,71
2015,3,31,84
2015,3,31,87
2015,3,31,85
2015,3,31,78
2015,3,31,74
2015,4,1,71
2015,4,1,68
2015,4,1,73
2015,4,1,86
2015,4,1,91
2015,4,1,65
2015,4,1,81
2015,4,1,80
2015,4,2,76
2015,4,2,73
2015,4,2,76
2015,4,2,89
2015,4,2,94
2015,4,2,92
2015,4,2,84
2015,4,2,79
2015,4,3,69
2015,4,3,69
2015,4,3,69
2015,4,3,80
2015,4,3,85
2015,4,3,84
2015,4,3,78
2015,4,3,76
2015,4,4,67
2015,4,4,66
2015,4,4,65
2015,4,4,71
2015,4,4,75
2015,4,4,77
2015,4,4,72
2015,4,4,68
2015,4,5,65
2015,4,5,63
2015,4,5,69
2015,4,5,61
2015,4,5,86
2015,4,5,84
2015,4,5,77
2015,4,5,71
2015,4,6,69
2015,4,6,66
2015,4,6,70
2015,4,6,85
2015,4,6,88
2015,4,6,87
2015,4,6,77
2015,4,6,74
2015,4,7,71
2015,4,7,69
2015,4,7,70
2015,4,7,77
2015,4,7,85
2015,4,7,83
2015,4,7,76
2015,4,7,72
2015,4,8,70
2015,4,8,67
2015,4,8,73
2015,4,8,76
2015,4,8,89
2015,4,8,89
2015,4,8,78
2015,4,8,76
2015,4,9,71
2015,4,9,68
2015,4,9,73
2015,4,9,84
2015,4,9,89
2015,4,9,90
2015,4,9,80
2015,4,9,74
